problem,algo_A,algo_B,U,p_value
Himmelblau2,GA,DE,0.0,6.794564910705958e-13
Himmelblau2,GA,PSO,0.0,4.778399897986674e-13
Himmelblau2,DE,PSO,465.0,0.31731050786291437
Griewank10,GA,DE,0.0,1.3353540495586458e-11
Griewank10,GA,PSO,64.0,4.52393100758286e-09
Griewank10,DE,PSO,0.0,1.3345768934414082e-11
Rastrigin10,GA,DE,0.0,1.3353540495586458e-11
Rastrigin10,GA,PSO,31.0,2.459339398797056e-10
Rastrigin10,DE,PSO,0.0,1.3236078899581116e-11
Rosenbrock10,GA,DE,0.0,1.3353540495586458e-11
Rosenbrock10,GA,PSO,221.0,0.00025880084847296203
Rosenbrock10,DE,PSO,0.0,1.3353540495586458e-11
